                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 0
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-]  .00100
 Absolute pressure head tolerance [L] 1.00000


 Temperature dependence of hydraulic properties is considered



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .036   .410    .490E-01    .208E+01    .771E+01   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4100   -.100E-03  -.4000E+01   .3647E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.120E-03  -.3919E+01   .4458E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.145E-03  -.3838E+01   .5451E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.175E-03  -.3758E+01   .6664E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.210E-03  -.3677E+01   .8147E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.254E-03  -.3596E+01   .9960E-07   .7714E+01   .8873E+00    1.0000
   .4100   -.305E-03  -.3515E+01   .1218E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.368E-03  -.3434E+01   .1489E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.443E-03  -.3354E+01   .1820E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.534E-03  -.3273E+01   .2225E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.643E-03  -.3192E+01   .2720E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.774E-03  -.3111E+01   .3326E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.933E-03  -.3030E+01   .4066E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.112E-02  -.2949E+01   .4971E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.135E-02  -.2869E+01   .6077E-06   .7714E+01   .8873E+00    1.0000
   .4100   -.163E-02  -.2788E+01   .7430E-06   .7713E+01   .8872E+00    1.0000
   .4100   -.196E-02  -.2707E+01   .9084E-06   .7713E+01   .8872E+00    1.0000
   .4100   -.236E-02  -.2626E+01   .1111E-05   .7713E+01   .8872E+00    1.0000
   .4100   -.285E-02  -.2545E+01   .1358E-05   .7713E+01   .8872E+00    1.0000
   .4100   -.343E-02  -.2465E+01   .1660E-05   .7713E+01   .8872E+00    1.0000
   .4100   -.413E-02  -.2384E+01   .2029E-05   .7712E+01   .8872E+00    1.0000
   .4100   -.498E-02  -.2303E+01   .2481E-05   .7712E+01   .8872E+00    1.0000
   .4100   -.599E-02  -.2222E+01   .3033E-05   .7712E+01   .8871E+00    1.0000
   .4100   -.722E-02  -.2141E+01   .3708E-05   .7711E+01   .8871E+00    1.0000
   .4100   -.870E-02  -.2061E+01   .4534E-05   .7710E+01   .8871E+00    1.0000
   .4100   -.105E-01  -.1980E+01   .5543E-05   .7710E+01   .8870E+00    1.0000
