 FileVersion=0003
                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 0
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 
 All cumulative fluxes (CumQ) are positive out of the region (except infiltration)
       Time       CumQAP        CumQRP       CumQA        CumQR        CumQ3        CumQ1        CumQS        CumQ5         CumQ6        CumQ7        CumQ8        CumQ9     CRunOff      cEvapor      cInfiltr
        [T]         [V]           [V]         [V]          [V]          [V]          [V]          [V]          [V]           [V]          [V]          [V]          [V]         [V]          [V]         [V]

        1.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.38217E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        2.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.69676E+03   .00000E+00   .00000E+00   .21451E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        3.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.10072E+04   .00000E+00   .00000E+00   .32176E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        4.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.13165E+04   .00000E+00   .00000E+00   .42901E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        5.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.16253E+04   .00000E+00   .00000E+00   .53627E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        6.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.19339E+04   .00000E+00   .00000E+00   .64352E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        7.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.22424E+04   .00000E+00   .00000E+00   .75077E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        8.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.25508E+04   .00000E+00   .00000E+00   .85803E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        9.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.28591E+04   .00000E+00   .00000E+00   .96528E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
       10.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31673E+04   .00000E+00   .00000E+00   .10725E+01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
end
