


                     Node(  349)                   Node(  677)                   Node( 1005)

      time          hNew     theta    Temp          hNew     theta    Temp          hNew     theta    Temp    
  .00000000E+00     -102.948   .1005   20.000       -102.948   .1005   20.000       -102.948   .1005   20.000
        1.0000     -102.474   .1008   20.000       -102.948   .1005   20.000       -102.948   .1005   20.000
        2.0000      -13.891   .3444   20.000       -102.948   .1005   20.000       -102.948   .1005   20.000
        3.0000       -7.179   .3895   20.000       -102.948   .1005   20.000       -102.948   .1005   20.000
        4.0000       -5.988   .3956   20.000       -102.540   .1008   20.000       -102.948   .1005   20.000
        5.0000       -5.612   .3973   20.000        -32.178   .2295   20.000       -102.948   .1005   20.000
        6.0000       -5.442   .3981   20.000        -12.999   .3509   20.000       -102.948   .1005   20.000
        7.0000       -5.335   .3985   20.000         -9.536   .3752   20.000       -102.948   .1005   20.000
        8.0000       -5.263   .3988   20.000         -8.285   .3832   20.000       -102.712   .1007   20.000
        9.0000       -5.217   .3990   20.000         -7.687   .3867   20.000        -47.054   .1761   20.000
       10.0000       -5.192   .3991   20.000         -7.385   .3884   20.000        -16.043   .3285   20.000
end
