

   TLevel      Time           dt       Iter    ItCum

     67   .10000000E+01   .309455E-01    4      245
     93   .20000000E+01   .399386E-01    4      348
    113   .30000000E+01   .544883E-01    4      427
    131   .40000000E+01   .565759E-01    4      499
    146   .50000000E+01   .712315E-01    4      558
    160   .60000000E+01   .717744E-01    4      614
    174   .70000000E+01   .717744E-01    4      670
    188   .80000000E+01   .717744E-01    4      726
    202   .90000000E+01   .717740E-01    4      782
    216   .10000000E+02   .717740E-01    4      838
end
