 FileVersion=0003
                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 0
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 
 All fluxes (v) are positive out of the region (except infiltration)
       Time         rAtm         rRoot        vAtm         vRoot       vKode3       vKode1       vSeep        vDrain       vBottom       vKode7       vKode8       vKode9       RunOff       Evapor       Infiltr     SnowLayer
        [T]        [L/T]         [L/T]       [L/T]         [L/T]        [V/T]        [V/T]       [V/T]         [V/T]        [V/T]         [V/T]        [V/T]       [V/T]         [L/T]        [L/T]        [L/T]         [L]

        1.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.32023E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        2.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31164E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        3.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30969E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        4.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30903E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        5.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30872E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        6.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30855E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        7.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30841E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        8.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30832E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        9.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30825E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
       10.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.30821E+03   .00000E+00   .00000E+00   .10725E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
end
