                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 5
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-]  .00100
 Absolute pressure head tolerance [L] 1.00000


 Temperature dependence of hydraulic properties is considered



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .038   .410    .500E-01    .208E+01    .757E+01   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4100   -.100E-03  -.4000E+01   .3783E-07   .7570E+01   .8791E+00    1.0000
   .4100   -.120E-03  -.3919E+01   .4625E-07   .7570E+01   .8791E+00    1.0000
   .4100   -.145E-03  -.3838E+01   .5654E-07   .7570E+01   .8791E+00    1.0000
   .4100   -.175E-03  -.3758E+01   .6913E-07   .7570E+01   .8791E+00    1.0000
   .4100   -.210E-03  -.3677E+01   .8451E-07   .7570E+01   .8791E+00    1.0000
   .4100   -.254E-03  -.3596E+01   .1033E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.305E-03  -.3515E+01   .1263E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.368E-03  -.3434E+01   .1544E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.443E-03  -.3354E+01   .1888E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.534E-03  -.3273E+01   .2308E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.643E-03  -.3192E+01   .2822E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.774E-03  -.3111E+01   .3450E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.933E-03  -.3030E+01   .4218E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.112E-02  -.2949E+01   .5157E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.135E-02  -.2869E+01   .6304E-06   .7570E+01   .8791E+00    1.0000
   .4100   -.163E-02  -.2788E+01   .7708E-06   .7569E+01   .8791E+00    1.0000
   .4100   -.196E-02  -.2707E+01   .9423E-06   .7569E+01   .8791E+00    1.0000
   .4100   -.236E-02  -.2626E+01   .1152E-05   .7569E+01   .8790E+00    1.0000
   .4100   -.285E-02  -.2545E+01   .1408E-05   .7569E+01   .8790E+00    1.0000
   .4100   -.343E-02  -.2465E+01   .1722E-05   .7569E+01   .8790E+00    1.0000
   .4100   -.413E-02  -.2384E+01   .2105E-05   .7568E+01   .8790E+00    1.0000
   .4100   -.498E-02  -.2303E+01   .2574E-05   .7568E+01   .8790E+00    1.0000
   .4100   -.599E-02  -.2222E+01   .3146E-05   .7568E+01   .8790E+00    1.0000
   .4100   -.722E-02  -.2141E+01   .3847E-05   .7567E+01   .8789E+00    1.0000
   .4100   -.870E-02  -.2061E+01   .4703E-05   .7566E+01   .8789E+00    1.0000
   .4100   -.105E-01  -.1980E+01   .5750E-05   .7566E+01   .8788E+00    1.0000
   .4100   -.126E-01  -.1899E+01   .7029E-05   .7565E+01   .8788E+00    1.0000
   .4100   -.152E-01  -.1818E+01   .8594E-05   .7564E+01   .8787E+00    1.0000
   .4100   -.183E-01  -.1737E+01   .1051E-04   .7562E+01   .8786E+00    1.0000
   .4100   -.221E-01  -.1657E+01   .1284E-04   .7560E+01   .8785E+00    1.0000
   .4100   -.266E-01  -.1576E+01   .1570E-04   .7558E+01   .8784E+00    1.0000
   .4100   -.320E-01  -.1495E+01   .1920E-04   .7556E+01   .8783E+00    1.0000
   .4100   -.385E-01  -.1414E+01   .2347E-04   .7552E+01   .8781E+00    1.0000
   .4100   -.464E-01  -.1333E+01   .2870E-04   .7548E+01   .8779E+00    1.0000
   .4100   -.559E-01  -.1253E+01   .3508E-04   .7544E+01   .8776E+00    1.0000
   .4100   -.673E-01  -.1172E+01   .4289E-04   .7538E+01   .8772E+00    1.0000
   .4100   -.811E-01  -.1091E+01   .5244E-04   .7531E+01   .8768E+00    1.0000
   .4100   -.977E-01  -.1010E+01   .6411E-04   .7522E+01   .8763E+00    1.0000
   .4100   -.118E+00  -.9293E+00   .7837E-04   .7511E+01   .8757E+00    1.0000
   .4100   -.142E+00  -.8485E+00   .9582E-04   .7498E+01   .8749E+00    1.0000
   .4100   -.171E+00  -.7677E+00   .1171E-03   .7482E+01   .8740E+00    1.0000
   .4100   -.206E+00  -.6869E+00   .1432E-03   .7462E+01   .8729E+00    1.0000
   .4100   -.248E+00  -.6061E+00   .1751E-03   .7438E+01   .8715E+00     .9999
   .4100   -.298E+00  -.5253E+00   .2140E-03   .7409E+01   .8698E+00     .9999
   .4100   -.359E+00  -.4444E+00   .2616E-03   .7374E+01   .8677E+00     .9999
   .4099   -.433E+00  -.3636E+00   .3198E-03   .7330E+01   .8651E+00     .9998
