 FileVersion=0003
                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 5
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 
 All cumulative fluxes (CumQ) are positive out of the region (except infiltration)
       Time       CumQAP        CumQRP       CumQA        CumQR        CumQ3        CumQ1        CumQS        CumQ5         CumQ6        CumQ7        CumQ8        CumQ9     CRunOff      cEvapor      cInfiltr
        [T]         [V]           [V]         [V]          [V]          [V]          [V]          [V]          [V]           [V]          [V]          [V]          [V]         [V]          [V]         [V]

        1.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.38642E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        2.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.70785E+03   .00000E+00   .00000E+00   .18817E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        3.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.10264E+04   .00000E+00   .00000E+00   .28226E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        4.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.13440E+04   .00000E+00   .00000E+00   .37634E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        5.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.16614E+04   .00000E+00   .00000E+00   .47043E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        6.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.19786E+04   .00000E+00   .00000E+00   .56452E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        7.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.22957E+04   .00000E+00   .00000E+00   .65860E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        8.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.26128E+04   .00000E+00   .00000E+00   .75269E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        9.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.29298E+04   .00000E+00   .00000E+00   .84677E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
       10.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.32469E+04   .00000E+00   .00000E+00   .94086E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
end
