


                     Node(   95)                   Node(  179)                   Node(  263)

      time          hNew     theta    Temp          hNew     theta    Temp          hNew     theta    Temp    
  .00000000E+00     -103.469   .1005   20.000       -103.469   .1005   20.000       -103.469   .1005   20.000
        1.0000      -83.993   .1154   20.000       -103.469   .1005   20.000       -103.469   .1005   20.000
        2.0000      -15.382   .3315   20.000       -103.469   .1005   20.000       -103.469   .1005   20.000
        3.0000       -6.778   .3910   20.000       -103.438   .1006   20.000       -103.469   .1005   20.000
        4.0000       -5.485   .3974   20.000        -89.048   .1111   20.000       -103.469   .1005   20.000
        5.0000       -5.120   .3990   20.000        -30.309   .2364   20.000       -103.469   .1005   20.000
        6.0000       -4.943   .3998   20.000        -13.529   .3454   20.000       -103.468   .1005   20.000
        7.0000       -4.846   .4003   20.000         -8.952   .3779   20.000       -103.359   .1006   20.000
        8.0000       -4.785   .4005   20.000         -7.599   .3863   20.000        -91.144   .1092   20.000
        9.0000       -4.751   .4006   20.000         -7.038   .3897   20.000        -37.025   .2069   20.000
       10.0000       -4.736   .4007   20.000         -6.781   .3910   20.000        -15.992   .3270   20.000
end
