

   TLevel      Time           dt       Iter    ItCum

     47   .10000000E+01   .423641E-01    3      155
     61   .20000000E+01   .717744E-01    4      211
     75   .30000000E+01   .717744E-01    4      266
     86   .40000000E+01   .908267E-01    4      310
     97   .50000000E+01   .908267E-01    3      353
    105   .60000000E+01   .125000E+00    4      385
    113   .70000000E+01   .125000E+00    4      417
    121   .80000000E+01   .125000E+00    4      449
    129   .90000000E+01   .125000E+00    4      481
    137   .10000000E+02   .125000E+00    4      513
end
