 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

        1.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        2.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        3.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        4.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        5.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        6.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        7.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        8.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
        9.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
       10.0000         .0         .0         .0         .0         .0         .0     -103.5         .0         .0         .0
end
