 FileVersion=0003
                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 5
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 
 All fluxes (v) are positive out of the region (except infiltration)
       Time         rAtm         rRoot        vAtm         vRoot       vKode3       vKode1       vSeep        vDrain       vBottom       vKode7       vKode8       vKode9       RunOff       Evapor       Infiltr     SnowLayer
        [T]        [L/T]         [L/T]       [L/T]         [L/T]        [V/T]        [V/T]       [V/T]         [V/T]        [V/T]         [V/T]        [V/T]       [V/T]         [L/T]        [L/T]        [L/T]         [L]

        1.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.32610E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        2.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31933E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        3.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31799E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        4.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31748E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        5.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31749E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        6.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31715E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        7.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31711E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        8.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31707E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
        9.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31704E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
       10.0000   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00  -.31703E+03   .00000E+00   .00000E+00   .94086E-01   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
end
