#Dirchilet BC  (from /home/zq/DrawDwon/MF_ES_GP/high_fidelity/DrawDown_0/DrawDown_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  808
#Node index, name, x, y, z,   value: 
1  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.850000000000e-02 0.000000000000e+00
4  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.700000000000e-02 0.000000000000e+00
6  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.550000000000e-02 0.000000000000e+00
8  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 7.400000000000e-02 0.000000000000e+00
10  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 9.250000000000e-02 0.000000000000e+00
12  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.110000000000e-01 0.000000000000e+00
14  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.295000000000e-01 0.000000000000e+00
16  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.480000000000e-01 0.000000000000e+00
18  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.665000000000e-01 0.000000000000e+00
20  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 1.850000000000e-01 0.000000000000e+00
22  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.035000000000e-01 0.000000000000e+00
24  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.220000000000e-01 0.000000000000e+00
26  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.405000000000e-01 0.000000000000e+00
28  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.590000000000e-01 0.000000000000e+00
30  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.775000000000e-01 0.000000000000e+00
32  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 2.960000000000e-01 0.000000000000e+00
34  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.145000000000e-01 0.000000000000e+00
36  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.330000000000e-01 0.000000000000e+00
38  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.515000000000e-01 0.000000000000e+00
40  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.700000000000e-01 0.000000000000e+00
42  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 3.885000000000e-01 0.000000000000e+00
44  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.070000000000e-01 0.000000000000e+00
46  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.255000000000e-01 0.000000000000e+00
48  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.440000000000e-01 0.000000000000e+00
50  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.625000000000e-01 0.000000000000e+00
52  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.810000000000e-01 0.000000000000e+00
54  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 4.995000000000e-01 0.000000000000e+00
56  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.180000000000e-01 0.000000000000e+00
58  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.365000000000e-01 0.000000000000e+00
60  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.550000000000e-01 0.000000000000e+00
62  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.735000000000e-01 0.000000000000e+00
64  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 5.920000000000e-01 0.000000000000e+00
66  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 6.105000000000e-01 0.000000000000e+00
68  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 6.290000000000e-01 0.000000000000e+00
70  DISPLACEMENT_X1 5.000000000000e-02 0.000000000000e+00 6.475000000000e-01 0.000000000000e+00
